January,,,,February,,,,March,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,
,Journey,"৳ 32,120",,,Journey,"৳ 32,416",,,Journey,"৳ 40,024",,,Journey,"৳ 39,440",,,Journey,"৳ 41,991",,,Journey,"৳ 47,601",,,Journey,"৳ 53,246",,,Journey,"৳ 53,842",,,Journey,"৳ 65,076",,,Journey,"৳ 51,011",,,Journey,"৳ 57,605"
,Amazon,৳ 976,,,Amazon,৳ 0,,,Amazon,"৳ 1,152",,,Amazon,৳ 682,,,Amazon,৳ 761,,,Amazon,"৳ 1,062",,,Amazon,৳ 647,,,Amazon,৳ 419,,,Amazon,"৳ 1,335",,,Amazon,৳ 302,,,Amazon,"৳ 1,568"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Book Sale systeme io,"৳ 1,107",,,Book Sale systeme io,"৳ 2,214",,,Book Sale systeme io,৳ 0,,,Book Sale systeme io,৳ 0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book sale kdp,৳ 512,,,book sale kdp,৳ 981,,,book sale kdp,৳ 738,,,book sale kdp,"৳ 1,029"
,Total,"৳ 33,096",,,Total,"৳ 32,416",,,Total,"৳ 41,176",,,Total,"৳ 40,122",,,Total,"৳ 42,752",,,Total,"৳ 48,663",,,Total,"৳ 53,893",,,Total,"৳ 55,880",,,Total,"৳ 69,606",,,Total,"৳ 52,051",,,Total,"৳ 60,202"
Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,
,Total Revenue,"৳ 33,096",,,Total Revenue,"৳ 32,416",,,Total Revenue,"৳ 41,176",,,Total Revenue,"৳ 40,122",,,Total Revenue,"৳ 42,752",,,Total Revenue,"৳ 48,663",,,Total Revenue,"৳ 53,893",,,Total Revenue,"৳ 55,880",,,Total Revenue,"৳ 69,606",,,Total Revenue,"৳ 52,051",,,Total Revenue,"৳ 60,202"
,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0
,Profit,"৳ 33,096",,,Profit,"৳ 32,416",,,Profit,"৳ 41,176",,,Profit,"৳ 40,122",,,Profit,"৳ 42,752",,,Profit,"৳ 48,663",,,Profit,"৳ 53,893",,,Profit,"৳ 55,880",,,Profit,"৳ 69,606",,,Profit,"৳ 52,051",,,Profit,"৳ 60,202"
,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%
