Month,Writers Motion (Content Service),,Content Spartan,,The Turtle Hub,,Acuario Pets,,Smaller Sites,,Investments (Dividends),Tools (Recurring Cost),TOTAL,,
,Revenue,Net Profit,Revenue,Net Profit,Revenue,Net Profit,Revenue,Net Profit,Revenue,Net Profit,Revenue/Profit,,Revenue,Net Profit,Profit Margin
January,৳0,৳0,৳ 0,৳ 0,"৳ 77,910","৳ 77,910","৳ 33,096","৳ 33,096","৳ 1,464","৳ 1,464","৳ 14,037.00","৳16,080","৳126,507","৳110,427",87.29%
February,৳0,৳0,৳ 0,৳ 0,"৳ 59,200","৳ 59,200","৳ 32,416","৳ 32,416","৳ 8,457","৳ 8,457",৳ 0.00,"৳16,080","৳100,073","৳83,993",83.93%
March,৳0,৳0,৳ 0,৳ 0,"৳ 98,652","৳ 98,652","৳ 41,176","৳ 41,176","৳ 1,682","৳ 1,682",৳554,"৳16,080","৳142,064","৳125,984",88.68%
April,"৳65,100","৳49,800",৳ 0,৳ 0,"৳ 101,374","৳ 101,374","৳ 40,122","৳ 40,122","৳ 11,946","৳ 11,946","৳ 1,496","৳23,790","৳220,038","৳180,948",82.23%
May ,"৳13,500","৳2,040",৳ 0,৳ 0,"৳ 136,955","৳ 136,955","৳ 42,752","৳ 42,752","৳ 12,048","৳ 12,048",৳0,"৳21,378","৳205,255","৳172,417",84.00%
June,৳0,৳0,৳ 0,৳ 0,"৳ 184,942","৳ 184,942","৳ 48,663","৳ 48,663","৳ 16,860","৳ 16,860",৳0,"৳15,387","৳250,465","৳235,078",93.86%
July,৳0,৳0,৳ 0,৳ 0,"৳ 176,271","৳ 176,271","৳ 53,893","৳ 53,893","৳ 18,065","৳ 18,065","৳2,457","৳14,550","৳250,686","৳236,136",94.20%
August,৳0,৳0,৳ 0,৳ 0,"৳ 168,689","৳ 168,689","৳ 55,880","৳ 55,880","৳ 24,895","৳ 24,895",৳0,"৳25,024","৳249,464","৳224,440",89.97%
September,৳0,৳0,৳ 0,৳ 0,"৳ 175,505","৳ 175,505","৳ 69,606","৳ 69,606","৳ 51,328","৳ 51,328","৳1,439","৳24,110","৳297,878","৳273,768",91.91%
October,৳0,৳0,৳ 0,৳ 0,"৳ 123,047","৳ 123,047","৳ 52,051","৳ 52,051","৳ 72,717","৳ 72,717",৳0,"৳20,135","৳247,815","৳227,680",91.87%
November,৳0,৳0,৳ 0,৳ 0,"৳ 97,239","৳ 97,239","৳ 60,202","৳ 60,202","৳ 101,150","৳ 101,150",৳0,"৳20,135","৳258,591","৳238,456",92.21%
December,৳0,৳0,৳ 0,৳ 0,,,,,,,৳0,,৳0,৳0,#DIV/0!
TOTAL,"৳78,600","৳51,840",৳ 0,৳ 0,"৳ 1,399,784","৳ 1,399,784","৳ 529,857","৳ 529,857","৳ 320,612","৳ 320,612","৳ 19,983.00",,"৳2,348,836","৳2,109,326",89.80%
