January,,,,February,,,,March,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,
,Mediavine,"৳ 56,335",,,Mediavine,"৳ 57,160",,,Mediavine,"৳ 93,163",,,Mediavine,"৳ 94,791",,,Mediavine,"৳ 123,752",,,Mediavine,"৳ 167,567",,,Mediavine,"৳ 147,468",,,Mediavine,"৳ 146,010",,,Mediavine,"৳ 140,125",,,Mediavine,"৳ 98,591",,,Mediavine,"৳ 71,787"
,Amazon,"৳ 6,365",,,Amazon,"৳ 2,040",,,Amazon,"৳ 1,858",,,Amazon,"৳ 4,631",,,Amazon,"৳ 2,571",,,Amazon,"৳ 4,811",,,Amazon,"৳ 8,402",,,Amazon,"৳ 2,273",,,Amazon,"৳ 7,033",,,Amazon,"৳ 3,281",,,Amazon,"৳ 2,579"
,MyFahlo,"৳ 15,210",,,MyFahlo,৳ 0,,,MyFahlo,৳ 0,,,MyFahlo,৳ 0,,,MyFahlo,৳ 550,,,MyFahlo,৳ 722,,,MyFahlo,"৳ 1,107",,,MyFahlo,৳ 0,,,MyFahlo,"৳ 1,726",,,MyFahlo,"৳ 2,295",,,MyFahlo,"৳ 10,301"
,JustAnswer,৳ 0,,,JustAnswer,৳ 0,,,JustAnswer,"৳ 3,631",,,Aivituvin,"৳ 1,952",,,Aivituvin,৳ 0,,,Aivituvin,৳ 0,,,Aivituvin,৳ 0,,,Aivituvin,৳ 0,,,Aivituvin,৳ 0,,,Aivituvin,৳ 0,,,Aivituvin,৳ 0
,Total,"৳ 77,910",,,Total,"৳ 59,200",,,Total,"৳ 98,652",,,JustAnswer,৳ 0,,,JustAnswer,৳ 0,,,JustAnswer,"৳ 1,845",,,JustAnswer,৳ 0,,,JustAnswer,"৳ 1,845",,,JustAnswer,"৳ 3,690",,,JustAnswer,"৳ 1,845",,,JustAnswer,৳ 0
,,,,,,,,,,,,,Total,"৳ 101,374",,,Book Sale systeme io,"৳ 2,250",,,Book Sale systeme io,"৳ 4,428",,,Book Sale systeme io,"৳ 6,642",,,Book Sale systeme io,"৳ 5,535",,,Book Sale systeme io,"৳ 1,107",,,Book Sale systeme io,"৳ 2,214",,,Book Sale systeme io,"৳ 3,321"
Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,,book sale kdp,"৳ 7,832",,,book sale kdp,"৳ 5,569",,,book sale kdp,"৳ 5,760",,,book sale kdp,"৳ 5,750",,,book sale kdp,"৳ 5,296",,,book sale kdp,"৳ 4,291",,,book sale kdp,"৳ 4,366"
,,,,,,,,,,,,,,,,,Total,"৳ 136,955",,,Total,"৳ 184,942",,,fb performance based payout,"৳ 6,892",,,fb performance based payout,"৳ 7,276",,,fb performance based payout,"৳ 16,528",,,fb performance based payout,"৳ 10,530",,,fb performance based payout,"৳ 4,885"
,,,,,,,,,,,,,,,,Expenses,,,,Expenses,,,,,Total,"৳ 176,271",,,Total,"৳ 168,689",,,Total,"৳ 175,505",,,Total,"৳ 123,047",,,Total,"৳ 97,239"
,,,,,,,,,,,,,,,,,,,,,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0
Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,
,Total Revenue,"৳ 77,910",,,Total Revenue,"৳ 59,200",,,Total Revenue,"৳ 98,652",,,Total Revenue,"৳ 101,374",,,Total Revenue,"৳ 136,955",,,Total Revenue,"৳ 184,942",,,Total Revenue,"৳ 176,271",,,Total Revenue,"৳ 168,689",,,Total Revenue,"৳ 175,505",,,Total Revenue,"৳ 123,047",,,Total Revenue,"৳ 97,239"
,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0
,Profit,"৳ 77,910",,,Profit,"৳ 59,200",,,Profit,"৳ 98,652",,,Profit,"৳ 101,374",,,Profit,"৳ 136,955",,,Profit,"৳ 184,942",,,Profit,"৳ 176,271",,,Profit,"৳ 168,689",,,Profit,"৳ 175,505",,,Profit,"৳ 123,047",,,Profit,"৳ 97,239"
,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%
